SID,SEASON,NUMBER,BASIN,SUBBASIN,NAME,ISO_TIME,NATURE,LAT,LON,WMO_WIND,WMO_PRES,WMO_AGENCY,TRACK_TYPE,DIST2LAND,LANDFALL,IFLAG,USA_AGENCY,USA_ATCF_ID,USA_LAT,USA_LON,USA_WIND,USA_PRES,USA_SSHS,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_POCI,USA_ROCI,USA_RMW,TOKYO_LAT,TOKYO_LON,TOKYO_GRADE,TOKYO_WIND,TOKYO_PRES,TOKYO_R50_DIR,TOKYO_R50_LONG,TOKYO_R50_SHORT,TOKYO_R30_DIR,TOKYO_R30_LONG,TOKYO_R30_SHORT,TOKYO_LAND,CMA_LAT,CMA_LON,CMA_CAT,CMA_WIND,CMA_PRES,STORM_SPEED,STORM_DIR
2025197N14131,2025,45,WP,MM,WIPHA,2025/7/18 12:00,TS,19.4,122.4,35,990,tokyo,US-PROVISIONAL,112,111,OOO____________,tcvitals,WP092025,19.3,122.5,35,991,0,180,170,35,100,998,280,85,19.6,122.3,3,35,990,0, , ,2,350,180,0,19.2,122.4,2,38,995,13,295
2025197N14131,2025,45,WP,MM,WIPHA,2025/7/18 15:00,TS,19.6,121.6, , , ,US-PROVISIONAL,124,123,PPP____________, ,WP092025,19.6,121.6,40,988,0,195,180,68,115,997,280,68,19.8,121.6,3,38,988,0, , ,2,295,180, ,19.5,121.6,2,41,993,15,285
2025197N14131,2025,45,WP,MM,WIPHA,2025/7/18 18:00,TS,19.8,120.8,40,985,tokyo,US-PROVISIONAL,134,134,OOO____________,tcvitals,WP092025,19.8,120.8,45,984,0,210,190,100,130,996,280,50,19.9,120.9,3,40,985,0, , ,2,240,180,0,19.7,120.8,2,44,990,13,285
2025197N14131,2025,45,WP,MM,WIPHA,2025/7/18 21:00,TS,19.9,120.3, , , ,US-PROVISIONAL,154,154,PPP____________, ,WP092025,20,120.2,48,983,0,205,170,105,130,996,280,45,19.9,120.4,3,43,985,0, , ,2,240,180, ,19.9,120.3,2,46,988,9,285
2025197N14131,2025,45,WP,MM,WIPHA,2025/7/19 0:00,TS,20.1,119.9,45,985,tokyo,US-PROVISIONAL,192,192,OOO____________,tcvitals,WP092025,20.1,119.8,51,981,0,200,150,110,130,996,280,40,20,120,3,45,985,0, , ,5,240,180,0,20.1,119.9,3,48,985,9,295
2025197N14131,2025,45,WP,MM,WIPHA,2025/7/19 3:00,TS,20.3,119.4, , , ,US-PROVISIONAL,224,221,PPP____________, ,WP092025,20.3,119.4,51,981,0,175,125,115,118,995,280,45,20.3,119.5,3,48,983,0, , ,5,240,180, ,20.3,119.5,3,51,984,10,295
2025197N14131,2025,45,WP,MM,WIPHA,2025/7/19 6:00,TS,20.5,119,50,980,tokyo,US-PROVISIONAL,235,235,OOO____________,tcvitals,WP092025,20.5,118.9,51,980,0,150,100,120,105,994,280,50,20.6,119,4,50,980,0, , ,5,240,180,0,20.5,119,3,54,982,12,300
2025197N14131,2025,45,WP,MM,WIPHA,2025/7/19 9:00,TS,20.8,118.4, , , ,US-PROVISIONAL,268,236,PPO____________, ,WP092025,20.7,118.4,51,980,0,150,100,120,105,994,250,50,20.9,118.4,4,50,980,0, , ,5,240,180, ,20.9,118.3,3,58,980,13,295
2025197N14131,2025,45,WP,MM,WIPHA,2025/7/19 12:00,TS,21.1,117.7,50,980,tokyo,US-PROVISIONAL,236,172,OOO____________,tcvitals,WP092025,21,117.7,51,979,0,150,100,120,105,993,220,50,21.2,117.7,4,50,980,0, , ,3,240,180,0,21.2,117.6,3,58,980,15,290
2025197N14131,2025,45,WP,MM,WIPHA,2025/7/19 15:00,TS,21.4,116.8, , , ,US-PROVISIONAL,170,137,PPO____________, ,WP092025,21.3,116.9,53,980,0,150,90,103,105,995,255,40,21.4,116.8,4,50,980,0, , ,3,240,180, ,21.5,116.8,4,64,975,16,285
2025197N14131,2025,45,WP,MM,WIPHA,2025/7/19 18:00,TS,21.5,116,50,980,tokyo,US-PROVISIONAL,135,113,OOO____________,tcvitals,WP092025,21.5,116,54,981,0,150,80,85,105,997,290,30,21.5,116,4,50,980,0, , ,3,240,180,0,21.6,116.1,4,68,970,14,280
2025197N14131,2025,45,WP,MM,WIPHA,2025/7/19 21:00,TS,21.6,115.3, , , ,US-PROVISIONAL,108,88,PPO____________, ,WP092025,21.6,115.3,59,976,0,143,85,85,105,998,318,23,21.5,115.3,4,53,980,0, , ,3,270,180, ,21.6,115.4,4,68,970,13,275
2025197N14131,2025,45,WP,MM,WIPHA,2025/7/20 0:00,TS,21.6,114.7,55,980,tokyo,US-PROVISIONAL,88,67,OOO____________,tcvitals,WP092025,21.6,114.6,64,970,1,135,90,85,105,999,345,15,21.6,114.7,4,55,980,3,50,30,3,300,180,0,21.6,114.7,4,68,970,13,275
2025197N14131,2025,45,WP,MM,WIPHA,2025/7/20 3:00,TS,21.7,114, , , ,US-PROVISIONAL,73,32,PPO____________, ,WP092025,21.7,113.9,64,974,1,135,90,85,105,999,345,18,21.8,114,4,58,978,3,50,30,3,270,150, ,21.7,114,4,73,965,13,280
2025197N14131,2025,45,WP,MM,WIPHA,2025/7/20 6:00,TS,21.8,113.3,60,975,tokyo,US-PROVISIONAL,32,0,OOO____________,tcvitals,WP092025,21.8,113.2,64,977,1,135,90,85,105,999,345,20,21.9,113.3,4,60,975,3,50,30,3,240,120,0,21.8,113.4,4,68,970,13,275
2025197N14131,2025,45,WP,MM,WIPHA,2025/7/20 9:00,TS,21.8,112.6, , , ,US-PROVISIONAL,0,0,PPO____________, ,WP092025,21.8,112.4,62,979,0,135,90,85,105,999,353,20,21.9,112.8,4,58,978,3,50,30,3,240,120, ,21.7,112.8,4,64,975,12,265
2025197N14131,2025,45,WP,MM,WIPHA,2025/7/20 12:00,TS,21.7,112,55,980,tokyo,US-PROVISIONAL,10,0,OOO____________,tcvitals,WP092025,21.7,111.7,60,980,0,135,90,85,105,999,360,20,21.8,112.2,4,55,980,3,50,30,3,240,120,0,21.6,112.3,3,54,978,11,265
2025197N14131,2025,45,WP,MM,WIPHA,2025/7/20 15:00,TS,21.7,111.4, , , ,US-PROVISIONAL,0,0,PPO____________, ,WP092025,21.6,111.2,56,983,0,95,93,93,83,999,345,20,21.8,111.4,4,53,980,3, , ,3,270,135, ,21.6,111.7,3,48,980,11,265
2025197N14131,2025,45,WP,MM,WIPHA,2025/7/20 18:00,TS,21.7,110.8,50,980,tokyo,US-PROVISIONAL,0,0,OOO____________,tcvitals,WP092025,21.6,110.8,51,986,0,55,95,100,60,998,330,20,21.8,110.7,4,50,980,0, , ,4,300,150,0,21.6,111,2,44,982,12,265
2025197N14131,2025,45,WP,MM,WIPHA,2025/7/20 21:00,TS,21.6,110.1, , , ,US-PROVISIONAL,0,0,PPO____________, ,WP092025,21.6,110.1,48,986,0,55,83,90,60,998,315,20,21.6,110.2,4,48,983,0, , ,4,300,150, ,21.5,110.3,2,44,982,11,255
2025197N14131,2025,45,WP,MM,WIPHA,2025/7/21 0:00,TS,21.4,109.6,45,985,tokyo,US-PROVISIONAL,15,11,OOO____________,tcvitals,WP092025,21.5,109.4,45,985,0,55,70,80,60,998,300,20,21.4,109.8,3,45,985,0, , ,4,300,150,0,21.2,109.9,2,38,984,8,250
2025197N14131,2025,45,WP,MM,WIPHA,2025/7/21 3:00,TS,21.3,109.3, , , ,US-PROVISIONAL,11,11,PPP____________, ,WP092025,21.4,109.1,45,986,0,55,70,95,60,998,295,25,21.3,109.6,3,45,985,0, , ,4,255,135, ,21,109.5,2,43,982,5,250
2025197N14131,2025,45,WP,MM,WIPHA,2025/7/21 6:00,TS,21.2,109.1,45,985,tokyo,US-PROVISIONAL,24,24,OOO____________,tcvitals,WP092025,21.3,109,45,987,0,55,70,110,60,998,290,30,21.2,109.3,3,45,985,0, , ,4,210,120,0,21,109.1,3,48,980,6,255
2025197N14131,2025,45,WP,MM,WIPHA,2025/7/21 9:00,TS,21.1,108.7, , , ,US-PROVISIONAL,55,49,PPP____________, ,WP092025,21.2,108.7,48,986,0,55,70,110,60,998,270,30,21.1,108.8,3,48,983,0, , ,4,165,105, ,21,108.7,3,51,979,8,255
2025197N14131,2025,45,WP,MM,WIPHA,2025/7/21 12:00,TS,21,108.3,50,980,tokyo,US-PROVISIONAL,56,49,OOO____________,tcvitals,WP092025,21.1,108.3,51,984,0,55,70,110,60,998,250,30,20.9,108.2,4,50,980,0, , ,4,120,90,0,21,108.4,3,54,978,8,255
2025197N14131,2025,45,WP,MM,WIPHA,2025/7/21 15:00,TS,20.9,107.9, , , ,US-PROVISIONAL,53,30,PPP____________, ,WP092025,21,108,51,984,0,65,85,120,63,998,250,30,20.7,107.7,4,53,978,0, , ,4,120,90, ,21,108.1,3,54,978,7,250
2025197N14131,2025,45,WP,MM,WIPHA,2025/7/21 18:00,TS,20.8,107.6,55,975,tokyo,US-PROVISIONAL,30,22,OOO____________,tcvitals,WP092025,20.8,107.6,51,984,0,75,100,130,65,998,250,30,20.6,107.3,4,55,975,3,30,15,4,120,90,0,20.9,107.7,3,54,978,8,250
2025197N14131,2025,45,WP,MM,WIPHA,2025/7/21 21:00,TS,20.6,107.1, , , ,US-PROVISIONAL,33,15,PPP____________, ,WP092025,20.6,107.2,48,986,0,75,100,130,65,998,250,30,20.5,107,4,53,978,3, , ,4,120,90, ,20.8,107.2,3,51,979,8,250
2025197N14131,2025,45,WP,MM,WIPHA,2025/7/22 0:00,TS,20.5,106.8,50,980,tokyo,US-PROVISIONAL,22,0,OOO____________,tcvitals,WP092025,20.5,106.8,45,987,0,75,100,130,65,998,250,30,20.4,106.7,4,50,980,0, , ,3,120,90,0,20.6,106.8,3,48,980,7,250
2025197N14131,2025,45,WP,MM,WIPHA,2025/7/22 3:00,TS,20.4,106.5, , , ,US-PROVISIONAL,0,0,PPP____________, ,WP092025,20.4,106.5,40,986,0,75,90,100,65,996,185,30,20.4,106.6,4,45,983,0, , ,3,120,90, ,20.4,106.5,3,41,983,6,250
2025197N14131,2025,45,WP,MM,WIPHA,2025/7/22 6:00,TS,20.3,106.2,40,985,tokyo,US-PROVISIONAL,0,0,OOO____________,tcvitals,WP092025,20.3,106.2,35,984,0,75,80,70,65,994,120,30,20.4,106.3,3,40,985,0, , ,3,120,90,0,20.2,106.1,2,34,985,8,250
2025197N14131,2025,45,WP,MM,WIPHA,2025/7/22 9:00,TS,20.1,105.7, , , ,US-PROVISIONAL,0,0,PPP____________, ,WP092025,20.2,106.1,35,987,0,63,83,75,68,994,125,30,20.2,105.4,3, ,988,0, , ,3, , , ,19.9,105.6,2,32,988,12,250
2025197N14131,2025,45,WP,MM,WIPHA,2025/7/22 12:00,TS,19.9,105, ,990,tokyo,US-PROVISIONAL,0,0,OOO____________,tcvitals,WP092025,20.2,106,35,990,0,50,85,80,70,994,130,30,19.9,104.3,2, ,990,0, , ,0, , ,0,19.7,105,1,29,990,18,255
2025197N14131,2025,45,WP,MM,WIPHA,2025/7/22 15:00,TS,19.7,103.8, , , ,US-PROVISIONAL,0,0,_PP____________, ,WP092025, , , , ,-5, , , , , , , ,19.8,103.3,2, ,992,0, , ,0, , , ,19.5,104.3,1,27,993,19,260
2025197N14131,2025,45,WP,MM,WIPHA,2025/7/22 18:00,TS,19.7,103, ,994,tokyo,US-PROVISIONAL,0, ,_OO____________, , , , , , ,-5, , , , , , , ,19.9,102.4,2, ,994,0, , ,0, , ,0,19.4,103.6,1,25,995,15,270
